Return As of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
Scheme Name,Objective,Type,Ret 6 Mth,Rank/Count,Ret 1 Yr,Rank/Count,Ret 2 Yr,Rank/Count,Ret 3 Yr,Rank/Count,Ret 5 Yr,Rank/Count,Ret 10 Yr,Rank/Count
Aditya Birla Sun Life PSU Equity Fund - Regular Plan,Equity: Thematic-PSU,Open-ended,28.29,5 ( 5 ) ,91,4 ( 5 ) ,63.61,4 ( 4 ) ,40.09,2 ( 4 ) ,-,-,-,-
Aditya Birla Sun Life Pure Value Fund - Direct Plan,Equity: Value Oriented,Open-ended,18.43,23 ( 30 ) ,53.27,10 ( 30 ) ,42.78,5 ( 25 ) ,24.22,11 ( 22 ) ,21.08,13 ( 20 ) ,15.01,11 ( 13 ) 
Aditya Birla Sun Life Pure Value Fund - Regular Plan,Equity: Value Oriented,Open-ended,17.92,24 ( 30 ) ,51.93,11 ( 30 ) ,41.52,5 ( 25 ) ,23.11,11 ( 22 ) ,19.93,16 ( 20 ) ,13.86,12 ( 13 ) 
Aditya Birla Sun Life Regular Savings Fund - Direct Plan,Hybrid: Conservative Hybrid,Open-ended,7.11,19 ( 30 ) ,12.86,23 ( 30 ) ,12.21,19 ( 30 ) ,9.89,13 ( 30 ) ,10.11,10 ( 26 ) ,10.34,5 ( 22 ) 
Aditya Birla Sun Life Regular Savings Fund - Regular Plan,Hybrid: Conservative Hybrid,Open-ended,6.63,20 ( 30 ) ,11.82,24 ( 30 ) ,11.16,21 ( 30 ) ,8.88,14 ( 30 ) ,9.14,10 ( 26 ) ,9.3,5 ( 22 ) 
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Direct Plan,Equity: Flexi Cap,Open-ended,17.93,61 ( 83 ) ,34.99,61 ( 77 ) ,27.91,57 ( 68 ) ,15.74,52 ( 59 ) ,15.26,45 ( 47 ) ,-,-
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Regular Plan,Equity: Flexi Cap,Open-ended,17.13,65 ( 83 ) ,33.15,64 ( 77 ) ,26.11,60 ( 68 ) ,14.07,54 ( 59 ) ,13.45,45 ( 47 ) ,-,-
Aditya Birla Sun Life Retirement Fund - The 40s Plan - Direct Plan,Hybrid: Aggressive Hybrid,Open-ended,13.93,41 ( 46 ) ,28.74,33 ( 44 ) ,23.23,39 ( 43 ) ,13.42,39 ( 43 ) ,13.48,37 ( 37 ) ,-,-
Aditya Birla Sun Life Retirement Fund - The 40s Plan - Regular Plan,Hybrid: Aggressive Hybrid,Open-ended,13.14,41 ( 46 ) ,26.9,34 ( 44 ) ,21.49,39 ( 43 ) ,11.8,39 ( 43 ) ,11.78,37 ( 37 ) ,-,-
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Direct Plan,Hybrid: Conservative Hybrid,Open-ended,6.83,24 ( 30 ) ,13.72,19 ( 30 ) ,12.2,20 ( 30 ) ,7.75,27 ( 30 ) ,7.35,24 ( 26 ) ,-,-
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Regular Plan,Hybrid: Conservative Hybrid,Open-ended,6.13,24 ( 30 ) ,12.25,20 ( 30 ) ,10.73,23 ( 30 ) ,6.34,27 ( 30 ) ,5.88,25 ( 26 ) ,-,-
Aditya Birla Sun Life Small Cap Fund - Direct Plan,Equity: Small Cap,Open-ended,22.38,24 ( 39 ) ,50.17,21 ( 34 ) ,39.57,19 ( 28 ) ,21.41,24 ( 25 ) ,22.77,19 ( 19 ) ,17.31,12 ( 12 ) 
Aditya Birla Sun Life Small Cap Fund - Regular Plan,Equity: Small Cap,Open-ended,21.7,25 ( 39 ) ,48.52,22 ( 34 ) ,38.07,19 ( 28 ) ,20.12,24 ( 25 ) ,21.44,19 ( 19 ) ,16.07,12 ( 12 ) 
Aditya Birla Sun Life Special Opportunities Fund - Direct Plan,Equity: Thematic,Open-ended,20.29,45 ( 76 ) ,44.69,32 ( 61 ) ,32.2,22 ( 42 ) ,20.19,14 ( 27 ) ,-,-,-,-
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan,Equity: Thematic,Open-ended,19.66,51 ( 76 ) ,42.97,41 ( 61 ) ,30.53,27 ( 42 ) ,18.48,16 ( 27 ) ,-,-,-,-
